id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
1,What is?,surprise,0.53,fear,0.5081726908683777,
2,"Landon, honey. There is nothing more.",love,0.45,joy,0.8066638708114624,
3,I swear to you that is all that happened.  I have not so much as set foot in your bedroom.,fear,0.66,anger,0.8987509608268738,
4,That is not a burn.,neutral,0.78,anger,0.9664381742477416,
5,I do not and I do not think you should...,neutral,0.55,anger,0.8195874094963074,
6,Oh.,surprise,0.34,joy,0.3963327705860138,
7,Will you calm down.  Duquettes going to come to you just like he did to me. You are going to have to be ready for him.,anger,0.21,joy,0.967595875263214,
8,Starla Covington. Do not be ignorant. Everyone knows that. Fucking prom queen.,anger,0.81,anger,0.9962108135223388,
9,Sh!,anger,0.34,anger,0.4371042847633362,
10,"Well, put er there, Billy boy, my names McMurphy.",neutral,0.75,joy,0.8103350400924683,
11,"He is dead, Lara.",sadness,0.68,fear,0.4658268094062805,
12,Always keep them laughing.,neutral,0.89,joy,0.5396601557731628,
13,... You are very perceptive.,neutral,0.84,joy,0.9705462455749512,
14,"You pathetic piece of shit. I can say whatever the fuck I want and you will not have a clue, you fucking retard.",anger,0.98,sadness,0.9085347652435304,
15,Get in bed.,neutral,0.68,anger,0.5255786180496216,
16,Cmon.,neutral,0.78,fear,0.4451819062232971,
17,I cannot afford to get caught.,fear,0.74,anger,0.7392881512641907,
18,"That is funny, Adele.  How many more times you going to give me that one?",surprise,0.66,surprise,0.9703702330589294,
19,"Please, Sam, we are going to have to be open to each other on this one. If you make a reputation with this case, it will be at my expense.",neutral,0.64,joy,0.8788309097290039,
20,"But, Lily",neutral,0.97,anger,0.9393601417541504,
21,I think she would cheer.,joy,0.55,joy,0.992106556892395,
22,"He is dead! Eddie, he is dead! It was his heart.",sadness,0.81,sadness,0.9007539749145508,
23,"He is the hero of fifty thousand boys and a hundred thousand parents. Look at these congratulations pouring in! I tell you, gentlemen, by this one statesmanlike act, I have",joy,0.45,joy,0.9856460690498352,
24,"As I suspected, you are a rank sentimentalist.",neutral,0.77,sadness,0.9760335087776184,
25,You son of a bitch!!,anger,0.91,anger,0.99522203207016,
26,"Not in your condition.  Make it tepid, Gaston... tepid and tender. And lay out his gray suit.  Afterwards I will drive you through the Bois. Slowly... in Waltz time.",neutral,0.71,love,0.9833523035049438,
27,I will do my best.,neutral,0.75,joy,0.9963831901550292,
28,"Linda... Hey, Linda...",joy,0.31,joy,0.6969159841537476,
