id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
1,What is?,confusion,0.64,confusion,0.5226439833641052,
2,"Landon, honey. There is nothing more.",love,0.45,love,0.12445788830518723,
3,I swear to you that is all that happened.  I have not so much as set foot in your bedroom.,embarrassment,0.64,sadness,0.08017710596323013,
4,That is not a burn.,neutral,0.77,neutral,0.1755785346031189,
5,I do not and I do not think you should...,disapproval,0.78,disapproval,0.3236362338066101,
6,Oh.,embarrassment,0.67,embarrassment,0.06626676023006439,
7,Will you calm down.  Duquettes going to come to you just like he did to me. You are going to have to be ready for him.,annoyance,0.77,remorse,0.08554039150476456,
8,Starla Covington. Do not be ignorant. Everyone knows that. Fucking prom queen.,anger,0.81,anger,0.10305219888687134,
9,Sh!,annoyance,0.66,nervousness,0.08862520009279251,
10,"Well, put er there, Billy boy, my names McMurphy.",curiosity,0.51,caring,0.059661947190761566,
11,"He is dead, Lara.",grief,0.59,grief,0.1521402895450592,
12,Always keep them laughing.,neutral,0.89,amusement,0.4798705279827118,
13,... You are very perceptive.,neutral,0.84,caring,0.22615587711334229,
14,"You pathetic piece of shit. I can say whatever the fuck I want and you will not have a clue, you fucking retard.",anger,0.98,disappointment,0.24236492812633514,
15,Get in bed.,neutral,0.68,disapproval,0.08329616487026215,
16,Cmon.,neutral,0.78,realization,0.0657929927110672,
17,I cannot afford to get caught.,nervousness,0.79,embarrassment,0.09670411795377731,
18,"That is funny, Adele.  How many more times you going to give me that one?",curiosity,0.85,amusement,0.5340753197669983,
19,"Please, Sam, we are going to have to be open to each other on this one. If you make a reputation with this case, it will be at my expense.",annoyance,0.84,desire,0.08032874763011932,
20,"But, Lily",neutral,0.97,curiosity,0.06888949126005173,
21,I think she would cheer.,optimism,0.56,optimism,0.18371888995170593,
22,"He is dead! Eddie, he is dead! It was his heart.",grief,0.82,grief,0.19095945358276367,
23,"He is the hero of fifty thousand boys and a hundred thousand parents. Look at these congratulations pouring in! I tell you, gentlemen, by this one statesmanlike act, I have",admiration,0.49,admiration,0.1746983677148819,
24,"As I suspected, you are a rank sentimentalist.",neutral,0.77,caring,0.22357480227947235,
25,You son of a bitch!!,anger,0.91,anger,0.2636159062385559,
26,"Not in your condition.  Make it tepid, Gaston... tepid and tender. And lay out his gray suit.  Afterwards I will drive you through the Bois. Slowly... in Waltz time.",annoyance,0.72,nervousness,0.07137502729892731,
27,I will do my best.,optimism,0.85,optimism,0.13514921069145203,
28,"Linda... Hey, Linda...",excitement,0.32,excitement,0.08719716221094131,
29,Do you love me?,neutral,0.98,love,0.19171451032161713,
30,Benjamin,neutral,0.99,caring,0.05929325148463249,
31,"See the thing is I could make it really easy on you  I already have your credit card number, your information, address and stuff. This is so awkward asking like this, I am sorry ",embarrassment,0.55,embarrassment,0.14365258812904358,
32,"It is starting to swell, is it painful?",nervousness,0.48,sadness,0.23759712278842926,
33,"Sixty three pounds consumed per capita, up from twenty seven in 1960.  Going to pass beef.  Chickens global.  No religious taboos.  You do not see your Hindus and your Muslims boycotting poultry.",neutral,0.89,desire,0.07955067604780197,
34,So you will dredge the bottom again. You have done that before. The results were... uneven.,neutral,0.75,disappointment,0.27841299772262573,
35,Just a minute.  I am shaking!  Take the gun.,nervousness,0.89,nervousness,0.34363022446632385,
36,"I said we should not come down here. Very treacherous  physical and metaphysical levels, both. Thereve been no refurbishments to this part of the house  it is exactly as it was in 1931.",disapproval,0.78,disapproval,0.07774940878152847,
37,Forget it. You cannot even set foot in the parking lot. That is how serious it is.,confusion,0.35,embarrassment,0.07132602483034134,
38,go!,excitement,0.47,excitement,0.3362109065055847,
39,It is a stretch but I will manage.,optimism,0.89,relief,0.08689264953136444,
40,Do not do this.,disapproval,0.91,disapproval,0.33914369344711304,
41,"Circus folk.  Nomads, you know. They smell like cabbage.",excitement,0.29,amusement,0.1162908673286438,
42,"It can louse up your insides. You can get puh, puh, puh...",disapproval,0.53,disgust,0.151349738240242,
43,"Oh no, my dear.  You look absolutely amazing.  There is no way I can compete with you.  The scene is yours.",admiration,0.91,admiration,0.12388596683740616,
44,You were paid to take me out!  By  the one person I truly hate.  I knew it was a setup!,anger,0.85,anger,0.24489691853523254,
45,My brother hung himself.,sadness,0.74,embarrassment,0.07206001877784729,
46,They are awful.  They make me cough.,disgust,0.95,disgust,0.19485007226467133,
47,Her blood is all over the bathroom. I would say that is a bit of a DNA problem.,confusion,0.89,embarrassment,0.07551577687263489,
48,The Prime Minister does not seem that naive.,neutral,0.88,surprise,0.11059017479419708,
49,Why not  if you like it  if that is what you really want.,approval,0.69,desire,0.40581923723220825,
50,Well  got to change that tire if were going to get home.,sadness,0.55,nervousness,0.08296050131320953,
