id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
1,What is?,,,fear,0.5081726908683777,
2,"Landon, honey. There is nothing more.",,,joy,0.8066638708114624,
3,I swear to you that is all that happened.  I have not so much as set foot in your bedroom.,,,anger,0.8987509608268738,
4,That is not a burn.,,,anger,0.9664381742477416,
5,I do not and I do not think you should...,,,anger,0.8195874094963074,
6,Oh.,,,joy,0.3963327705860138,
7,Will you calm down.  Duquettes going to come to you just like he did to me. You are going to have to be ready for him.,,,joy,0.967595875263214,
8,Starla Covington. Do not be ignorant. Everyone knows that. Fucking prom queen.,,,anger,0.9962108135223388,
9,Sh!,,,anger,0.4371042847633362,
10,"Well, put er there, Billy boy, my names McMurphy.",,,joy,0.8103350400924683,
11,"He is dead, Lara.",,,fear,0.4658268094062805,
12,Always keep them laughing.,,,joy,0.5396601557731628,
13,... You are very perceptive.,,,joy,0.9705462455749512,
14,"You pathetic piece of shit. I can say whatever the fuck I want and you will not have a clue, you fucking retard.",,,sadness,0.9085347652435304,
15,Get in bed.,,,anger,0.5255786180496216,
16,Cmon.,,,fear,0.4451819062232971,
17,I cannot afford to get caught.,,,anger,0.7392881512641907,
18,"That is funny, Adele.  How many more times you going to give me that one?",,,surprise,0.9703702330589294,
19,"Please, Sam, we are going to have to be open to each other on this one. If you make a reputation with this case, it will be at my expense.",,,joy,0.8788309097290039,
20,"But, Lily",,,anger,0.9393601417541504,
21,I think she would cheer.,,,joy,0.992106556892395,
22,"He is dead! Eddie, he is dead! It was his heart.",,,sadness,0.9007539749145508,
23,"He is the hero of fifty thousand boys and a hundred thousand parents. Look at these congratulations pouring in! I tell you, gentlemen, by this one statesmanlike act, I have",,,joy,0.9856460690498352,
24,"As I suspected, you are a rank sentimentalist.",,,sadness,0.9760335087776184,
25,You son of a bitch!!,,,anger,0.99522203207016,
26,"Not in your condition.  Make it tepid, Gaston... tepid and tender. And lay out his gray suit.  Afterwards I will drive you through the Bois. Slowly... in Waltz time.",,,love,0.9833523035049438,
27,I will do my best.,,,joy,0.9963831901550292,
28,"Linda... Hey, Linda...",,,joy,0.6969159841537476,
29,Do you love me?,,,love,0.8943160176277161,
30,Benjamin ,,,anger,0.5790136456489563,
31,"See the thing is I could make it really easy on you  I already have your credit card number, your information, address and stuff. This is so awkward asking like this, I am sorry ",,,sadness,0.998323380947113,
32,"It is starting to swell, is it painful?",,,sadness,0.9932249188423156,
33,"Sixty three pounds consumed per capita, up from twenty seven in 1960.  Going to pass beef.  Chickens global.  No religious taboos.  You do not see your Hindus and your Muslims boycotting poultry.",,,anger,0.9344733953475952,
34,So you will dredge the bottom again. You have done that before. The results were... uneven.,,,sadness,0.9968245029449464,
35,Just a minute.  I am shaking!  Take the gun.,,,fear,0.9958947896957396,
36,"I said we should not come down here. Very treacherous  physical and metaphysical levels, both. Thereve been no refurbishments to this part of the house  it is exactly as it was in 1931.",,,anger,0.950268805027008,
37,Forget it. You cannot even set foot in the parking lot. That is how serious it is.,,,joy,0.8608886003494263,
38,go!,,,joy,0.5149142742156982,
39,It is a stretch but I will manage.,,,joy,0.9896871447563172,
40,Do not do this.,,,anger,0.9243531227111816,
41,"Circus folk.  Nomads, you know. They smell like cabbage.",,,anger,0.6428670883178711,
42,"It can louse up your insides. You can get puh, puh, puh...",,,anger,0.6848703026771545,
43,"Oh no, my dear.  You look absolutely amazing.  There is no way I can compete with you.  The scene is yours.",,,surprise,0.5122455954551697,
44,You were paid to take me out!  By  the one person I truly hate.  I knew it was a setup!,,,anger,0.9805848002433776,
45,My brother hung himself.,,,anger,0.9551045894622804,
46,They are awful.  They make me cough.,,,sadness,0.9153817892074584,
47,Her blood is all over the bathroom. I would say that is a bit of a DNA problem.,,,anger,0.9439287781715392,
