id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
1,What is?,,,surprise,0.6744843125343323,
2,"Landon, honey. There is nothing more.",,,neutral,0.4625929594039917,
3,I swear to you that is all that happened.  I have not so much as set foot in your bedroom.,,,neutral,0.689100444316864,
4,That is not a burn.,,,neutral,0.6837944984436035,
5,I do not and I do not think you should...,,,neutral,0.2753444910049438,
6,Oh.,,,neutral,0.6889088153839111,
7,Will you calm down.  Duquettes going to come to you just like he did to me. You are going to have to be ready for him.,,,neutral,0.5927751660346985,
8,Starla Covington. Do not be ignorant. Everyone knows that. Fucking prom queen.,,,anger,0.8242056965827942,
9,Sh!,,,surprise,0.7856425046920776,
10,"Well, put er there, Billy boy, my names McMurphy.",,,neutral,0.6310051083564758,
11,"He is dead, Lara.",,,sadness,0.7076039910316467,
12,Always keep them laughing.,,,neutral,0.7513962388038635,
13,... You are very perceptive.,,,neutral,0.4650639593601227,
14,"You pathetic piece of shit. I can say whatever the fuck I want and you will not have a clue, you fucking retard.",,,anger,0.6218573451042175,
15,Get in bed.,,,neutral,0.8819218873977661,
16,Cmon.,,,anger,0.4753952622413635,
17,I cannot afford to get caught.,,,fear,0.5481598377227783,
18,"That is funny, Adele.  How many more times you going to give me that one?",,,surprise,0.7144138216972351,
19,"Please, Sam, we are going to have to be open to each other on this one. If you make a reputation with this case, it will be at my expense.",,,neutral,0.6088312864303589,
20,"But, Lily",,,neutral,0.5811545252799988,
21,I think she would cheer.,,,joy,0.9074845910072328,
22,"He is dead! Eddie, he is dead! It was his heart.",,,surprise,0.3746024072170257,
23,"He is the hero of fifty thousand boys and a hundred thousand parents. Look at these congratulations pouring in! I tell you, gentlemen, by this one statesmanlike act, I have",,,joy,0.5992940664291382,
24,"As I suspected, you are a rank sentimentalist.",,,neutral,0.4613730013370514,
25,You son of a bitch!!,,,anger,0.7257136106491089,
26,"Not in your condition.  Make it tepid, Gaston... tepid and tender. And lay out his gray suit.  Afterwards I will drive you through the Bois. Slowly... in Waltz time.",,,neutral,0.8245645761489868,
27,I will do my best.,,,neutral,0.4273675680160522,
28,"Linda... Hey, Linda...",,,joy,0.4912290275096893,
29,Do you love me?,,,joy,0.2203405499458313,
30,Benjamin ,,,fear,0.6107701659202576,
31,"See the thing is I could make it really easy on you  I already have your credit card number, your information, address and stuff. This is so awkward asking like this, I am sorry ",,,disgust,0.3879056870937347,
32,"It is starting to swell, is it painful?",,,sadness,0.5768522024154663,
33,"Sixty three pounds consumed per capita, up from twenty seven in 1960.  Going to pass beef.  Chickens global.  No religious taboos.  You do not see your Hindus and your Muslims boycotting poultry.",,,neutral,0.5888309478759766,
34,So you will dredge the bottom again. You have done that before. The results were... uneven.,,,neutral,0.5638020038604736,
35,Just a minute.  I am shaking!  Take the gun.,,,fear,0.9671739339828492,
36,"I said we should not come down here. Very treacherous  physical and metaphysical levels, both. Thereve been no refurbishments to this part of the house  it is exactly as it was in 1931.",,,fear,0.9588390588760376,
37,Forget it. You cannot even set foot in the parking lot. That is how serious it is.,,,anger,0.672196090221405,
38,go!,,,anger,0.5879007577896118,
39,It is a stretch but I will manage.,,,neutral,0.9216614961624146,
40,Do not do this.,,,neutral,0.3555173873901367,
41,"Circus folk.  Nomads, you know. They smell like cabbage.",,,disgust,0.9544927477836608,
42,"It can louse up your insides. You can get puh, puh, puh...",,,neutral,0.6967517733573914,
43,"Oh no, my dear.  You look absolutely amazing.  There is no way I can compete with you.  The scene is yours.",,,surprise,0.7697329521179199,
44,You were paid to take me out!  By  the one person I truly hate.  I knew it was a setup!,,,anger,0.8107439279556274,
45,My brother hung himself.,,,disgust,0.5363381505012512,
46,They are awful.  They make me cough.,,,disgust,0.7772970199584961,
47,Her blood is all over the bathroom. I would say that is a bit of a DNA problem.,,,disgust,0.7710627913475037,
48,The Prime Minister does not seem that naive.,,,neutral,0.8101201057434082,
49,Why not  if you like it  if that is what you really want.,,,neutral,0.604792058467865,
50,Well  got to change that tire if were going to get home.,,,neutral,0.4816295206546783,
51,Ignore it. We will be fine.  Prepare for first stage shutdown and separation on my mark...,,,fear,0.4327512085437774,
52,"What is so funny, cadet Cowan?",,,surprise,0.7269026637077332,
53,Very interesting. I am learning a lot about manure.  What is that?,,,surprise,0.4644390046596527,
54,Okay.  That did not work.,,,sadness,0.4562899172306061,
55,23   CONTINUED,,,neutral,0.6944407820701599,
56,and thus unable to declare her love,,,sadness,0.9016774892807008,
57,It is a piece of the treasure of Isla de Muerta.,,,neutral,0.7716635465621948,
